product_name,elasticity,p_value,r2,n_obs,elasticity_interpretation
I Need My Bean! T-shirt,-110.50732313327077,0.0013856439599066418,0.3781202534166306,24,Elastic (> -1)
Ginger Scone,-14.211540490553464,0.004328567407927695,0.2825213398758897,27,Elastic (> -1)
Ouro Brasileiro shot,-6.680414352336578,7.388562054319158e-05,0.4728882027817497,27,Elastic (> -1)
Jumbo Savory Scone,-2.0271737827962113,0.9028700706946318,0.0006075625699426546,27,Elastic (> -1)
Organic Decaf Blend,2.2441690459305943,0.25208571683553893,0.0591635741807901,24,Inelastic (>-0.3 or positive)
Croissant,3.7379730852741986,0.8006929282210139,0.0025973426451648685,27,Inelastic (>-0.3 or positive)
Chocolate Chip Biscotti,6.7709318612045735,0.7985723759469492,0.0026540523579990927,27,Inelastic (>-0.3 or positive)
I Need My Bean! Diner mug,9.465331705888955,0.10603050888062862,0.1143612133522316,24,Inelastic (>-0.3 or positive)
I Need My Bean! Latte cup,10.598426176086866,0.053087122053316387,0.1596212774177438,24,Inelastic (>-0.3 or positive)
Hazelnut Biscotti,13.706909793663051,0.5149346208565961,0.017154263407892945,27,Inelastic (>-0.3 or positive)
Cranberry Scone,16.465265282197393,0.5289817271524406,0.016043539747298885,27,Inelastic (>-0.3 or positive)
Scottish Cream Scone ,27.30696667146514,0.3562948707774195,0.03412588682912843,27,Inelastic (>-0.3 or positive)
Ginger Biscotti,28.177010135552678,0.4350165536205629,0.024560312203361967,27,Inelastic (>-0.3 or positive)
Chocolate Croissant,77.70346451103727,0.14034176893349246,0.0848903160877168,27,Inelastic (>-0.3 or positive)
